,title_list,price_list
94,"Infinix Note 11 (Celestial Snow, 64 GB)","₹10,499"
95,"realme 8 (Cyber Silver, 128 GB)","₹18,049"
96,"realme 9i (Prism Black, 128 GB)","₹16,049"
97,Cellecor E1,"₹1,229"
98,"vivo Y53s (Fantastic Rainbow, 128 GB)","₹15,490"
99,"vivo Y53s (Deep Sea Blue, 128 GB)","₹15,490"
100,"realme C35 (Glowing Black, 64 GB)","₹11,999"
101,"realme 8i (Space Black, 64 GB)","₹14,049"
102,"MOTOROLA e40 (Pink Clay, 64 GB)","₹9,999"
103,"realme 8i (Space Black, 128 GB)","₹16,009"
104,LAVA A1 Josh 2021,"₹1,055"
105,LAVA A3,"₹1,212"
106,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,990"
107,"Moto G71 5G (Neptune Green, 128 GB)","₹15,999"
108,"APPLE iPhone 13 (Blue, 128 GB)","₹69,999"
109,"Moto G71 5G (Arctic Blue, 128 GB)","₹15,999"
110,"realme 9i (Prism Black, 128 GB)","₹15,049"
111,"REDMI 10 Prime 2022 (Astral White, 64 GB)","₹11,185"
112,"REDMI 10 Prime 2022 (Phantom Black, 64 GB)","₹11,192"
113,"vivo T1 5G (Starlight Black, 128 GB)","₹15,990"
114,"MOTOROLA G51 5G (Indigo Blue, 64 GB)","₹12,249"
115,LAVA A3,"₹1,212"
116,"POCO C31 (Shadow Gray, 64 GB)","₹9,999"
117,"vivo T1 5G (Starlight Black, 128 GB)","₹16,990"
118,"Infinix Hot 11S (Green Wave, 64 GB)","₹9,499"
119,"realme 9i (Prism Blue, 64 GB)","₹13,549"
